participant_id,session_idx,channel,feature,t_pct,value
1,1,thoracic,rsp_rate,99.0,12.037617554858931
1,1,thoracic,rsp_rate,100.0,12.037617554858931
1,1,thoracic,rsp_amplitude,0.0,0.0014080899657992574
1,1,thoracic,rsp_amplitude,1.0,0.0014080899657992574
1,1,thoracic,rsp_amplitude,2.0,0.0016714650780806995
1,1,thoracic,rsp_amplitude,3.0,0.0021800306904721533
1,1,thoracic,rsp_amplitude,4.0,0.0029572498835187043
1,1,thoracic,rsp_amplitude,5.0,0.0035310157863720623
1,1,thoracic,rsp_amplitude,6.0,0.003945990917977599
1,1,thoracic,rsp_amplitude,7.0,0.004163428246752433
1,1,thoracic,rsp_amplitude,8.0,0.004177385079361486
1,1,thoracic,rsp_amplitude,9.0,0.003922069780556903
1,1,thoracic,rsp_amplitude,10.0,0.003203326684007672
1,1,thoracic,rsp_amplitude,11.0,0.0022643592015748025
1,1,thoracic,rsp_amplitude,12.0,0.0014973435663387293
1,1,thoracic,rsp_amplitude,13.0,0.0010367707377499577
1,1,thoracic,rsp_amplitude,14.0,0.0012517265734934687
1,1,thoracic,rsp_amplitude,15.0,0.0016601575692970138
1,1,thoracic,rsp_amplitude,16.0,0.0022307152740930264
1,1,thoracic,rsp_amplitude,17.0,0.002866402151333339
1,1,thoracic,rsp_amplitude,18.0,0.003396592122481578
1,1,thoracic,rsp_amplitude,19.0,0.0037930940930869456
1,1,thoracic,rsp_amplitude,20.0,0.0038422891061549876
1,1,thoracic,rsp_amplitude,21.0,0.0035571003518425474
1,1,thoracic,rsp_amplitude,22.0,0.003092236235953754
1,1,thoracic,rsp_amplitude,23.0,0.0025049942449502077
1,1,thoracic,rsp_amplitude,24.0,0.0020840301885962954
1,1,thoracic,rsp_amplitude,25.0,0.001824641456186174
1,1,thoracic,rsp_amplitude,26.0,0.0017816888806174173
1,1,thoracic,rsp_amplitude,27.0,0.0017892895466985275
1,1,thoracic,rsp_amplitude,28.0,0.0018061867431002417
1,1,thoracic,rsp_amplitude,29.0,0.0018284003487842291
